user_id,days,steps_tried,correct,wrong,correct_ratio,viewed
2,1.0,2.0,2.0,0.0,1.0,9
3,1.0,4.0,4.0,4.0,0.5,20
8,1.0,11.0,9.0,21.0,0.3,154
14,1.0,1.0,0.0,1.0,0.0,9
16,3.0,23.0,23.0,27.0,0.46,132
1,0.0,0.0,0.0,0.0,0.0,1
5,0.0,0.0,0.0,0.0,0.0,1
7,0.0,0.0,0.0,0.0,0.0,1
9,0.0,0.0,0.0,0.0,0.0,4
17,0.0,0.0,0.0,0.0,0.0,13
18,0.0,0.0,0.0,0.0,0.0,3
20,0.0,0.0,0.0,0.0,0.0,13
22,0.0,0.0,0.0,0.0,0.0,93
26,0.0,0.0,0.0,0.0,0.0,32
28,0.0,0.0,0.0,0.0,0.0,2
30,0.0,0.0,0.0,0.0,0.0,15
31,0.0,0.0,0.0,0.0,0.0,34
33,0.0,0.0,0.0,0.0,0.0,4
34,0.0,0.0,0.0,0.0,0.0,43
36,0.0,0.0,0.0,0.0,0.0,1
37,0.0,0.0,0.0,0.0,0.0,1
38,0.0,0.0,0.0,0.0,0.0,1
39,0.0,0.0,0.0,0.0,0.0,16
41,0.0,0.0,0.0,0.0,0.0,5
42,0.0,0.0,0.0,0.0,0.0,1
43,0.0,0.0,0.0,0.0,0.0,66
44,0.0,0.0,0.0,0.0,0.0,16
46,0.0,0.0,0.0,0.0,0.0,24
47,0.0,0.0,0.0,0.0,0.0,12
48,0.0,0.0,0.0,0.0,0.0,1
49,0.0,0.0,0.0,0.0,0.0,9
50,0.0,0.0,0.0,0.0,0.0,11
51,0.0,0.0,0.0,0.0,0.0,2
52,0.0,0.0,0.0,0.0,0.0,2
53,0.0,0.0,0.0,0.0,0.0,17
54,0.0,0.0,0.0,0.0,0.0,9
56,0.0,0.0,0.0,0.0,0.0,1
59,0.0,0.0,0.0,0.0,0.0,1
60,0.0,0.0,0.0,0.0,0.0,62
63,0.0,0.0,0.0,0.0,0.0,23
64,0.0,0.0,0.0,0.0,0.0,3
65,0.0,0.0,0.0,0.0,0.0,9
66,0.0,0.0,0.0,0.0,0.0,68
67,0.0,0.0,0.0,0.0,0.0,124
68,0.0,0.0,0.0,0.0,0.0,8
69,0.0,0.0,0.0,0.0,0.0,5
70,0.0,0.0,0.0,0.0,0.0,23
71,0.0,0.0,0.0,0.0,0.0,3
73,0.0,0.0,0.0,0.0,0.0,24
75,0.0,0.0,0.0,0.0,0.0,16
76,0.0,0.0,0.0,0.0,0.0,122
79,0.0,0.0,0.0,0.0,0.0,1
80,0.0,0.0,0.0,0.0,0.0,176
82,0.0,0.0,0.0,0.0,0.0,2
85,0.0,0.0,0.0,0.0,0.0,1
86,0.0,0.0,0.0,0.0,0.0,3
87,0.0,0.0,0.0,0.0,0.0,1
88,0.0,0.0,0.0,0.0,0.0,3
89,0.0,0.0,0.0,0.0,0.0,26
91,0.0,0.0,0.0,0.0,0.0,94
94,0.0,0.0,0.0,0.0,0.0,16
95,0.0,0.0,0.0,0.0,0.0,26
96,0.0,0.0,0.0,0.0,0.0,14
97,0.0,0.0,0.0,0.0,0.0,16
100,0.0,0.0,0.0,0.0,0.0,42
